file,CH1_BPFI_energy,CH1_BPFO_energy,CH1_BSF_energy,CH1_CRS_energy,CH2_BPFI_energy,CH2_BPFO_energy,CH2_BSF_energy,CH2_CRS_energy,CH3_BPFI_energy,CH3_BPFO_energy,CH3_BSF_energy,CH3_CRS_energy,CH4_BPFI_energy,CH4_BPFO_energy,CH4_BSF_energy,CH4_CRS_energy
modified_KIMM Simulator_KIMM Bearing Test_20160325140839.tdms,1.4519012154059119e+85,3.282830540530827e+85,4.65941989888144e+85,2.3179425993377173e+86,1.3229210230742553e+83,2.99186459375472e+83,4.2467630921740476e+83,2.0928609607955025e+84,3.0815529167389714e+83,6.967396054185095e+83,9.887940425394458e+83,4.882766759965056e+84,2.0655579428444496e+84,4.671314419805278e+84,6.629832704645916e+84,3.296088695899064e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325141839.tdms,3.276708523373543e+84,7.410308652841799e+84,1.051854606716237e+85,5.2472060867579264e+85,3.178376449038803e+84,7.18669496353622e+84,1.019975410065956e+85,5.064098338787305e+85,1.105960163019739e+84,2.5006044498418235e+84,3.548812371619169e+84,1.749005615875472e+85,3.676844562987255e+83,8.314458226818883e+83,1.1800720002064553e+84,5.90945942523408e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325142839.tdms,4.2257920110920307e+80,9.555108556954537e+80,1.3559593518009998e+81,6.8542829612680955e+81,1.516641486921043e+85,3.429729430035782e+85,4.8677234511604335e+85,2.410044079297612e+86,1.1292512154555819e+86,2.5536793809403933e+86,3.6246601063001913e+86,1.8005425190666724e+87,1.2193512190846078e+85,2.7567480665604883e+85,3.9123251586592494e+85,1.941706029741172e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325143839.tdms,3.811818982350409e+85,8.618741398281482e+85,1.2231219181676311e+86,6.105771013896735e+86,9.402044770501102e+85,2.1260968493096272e+86,3.0176471668737805e+86,1.4909476804548065e+87,1.713847185092294e+86,3.875776152213417e+86,5.501326387224201e+86,2.734196065604633e+87,4.4453556897040604e+85,1.0052113374391354e+86,1.4266965687245487e+86,7.102623231855756e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325144839.tdms,2.177757917265934e+84,4.92460625806021e+84,6.988587821868479e+84,3.490152525909553e+85,6.333157797703364e+84,1.4319695533223445e+85,2.03236250540338e+85,1.0035127612288207e+86,5.1427422752798e+85,1.1627552613050589e+86,1.6501032030701187e+86,8.149185064419719e+86,1.8747095269355726e+86,4.238962547588873e+86,6.015721797681371e+86,3.023458043290169e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325145839.tdms,3.278480075538097e+84,7.413120545784178e+84,1.0520967525300893e+85,5.229485262910764e+85,4.725983580630013e+83,1.0686537757269392e+84,1.516477514555902e+84,7.554620551330239e+84,1.849280721320995e+86,4.181251081786757e+86,5.934833985374798e+86,2.937628127117165e+87,5.2310071320188995e+82,1.1828257838496212e+83,1.6786365375934466e+83,8.343639778204136e+83
modified_KIMM Simulator_KIMM Bearing Test_20160325150839.tdms,7.820007672710824e+84,1.7682048416402373e+85,2.509625347938138e+85,1.249093694599173e+86,1.1050909948076076e+86,2.4987052969122825e+86,3.5461562492589387e+86,1.7618651209255532e+87,3.9443975517003256e+85,8.918630136707334e+85,1.265866196484844e+86,6.30359078190183e+86,2.226056638797284e+85,5.033994919286056e+85,7.145091454929276e+85,3.544081298621027e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325151839.tdms,1.45927750238107e+85,3.299800687884158e+85,4.6836349059527324e+85,2.339973662615692e+86,1.0693999640178593e+85,2.418198980177159e+85,3.431965859866328e+85,1.7080570088362572e+86,2.9808764834406763e+84,6.741147203873866e+84,9.567277522536383e+84,4.781763548915139e+85,8.859061028765463e+82,2.0034048185297492e+83,2.843565586769158e+83,1.4161437117613981e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325152839.tdms,2.6485191675175332e+84,5.988344705387498e+84,8.498600904118576e+84,4.216115468876609e+85,4.073534268329545e+84,9.211161228494131e+84,1.3073302188311653e+85,6.53453763283563e+85,2.5534898464943213e+84,5.774082870289822e+84,8.19566798908052e+84,4.0342139691867316e+85,3.6491227479576255e+84,8.25061751967574e+84,1.1709537735772805e+85,5.842040824126858e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325153839.tdms,1.1695822404526191e+85,2.6447473302090883e+85,3.7537172611280946e+85,1.8840329204976208e+86,1.5614013889080995e+83,3.530970172241703e+83,5.01138948634636e+83,2.4889309440242557e+84,6.457733866793181e+85,1.4601639570471492e+86,2.072154296309429e+86,1.0274403192504027e+87,1.1053540431192937e+85,2.4992633692940775e+85,3.547025567891103e+85,1.786968669349495e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325154839.tdms,1.953922656641997e+81,4.418222740221883e+81,6.270088145257756e+81,3.096774431138812e+82,6.511970125422063e+85,1.4725780723301336e+86,2.0898850850165948e+86,1.0260436910844754e+87,9.097416652873185e+83,2.0571880650792546e+84,2.919878082301453e+84,1.4550618762353784e+85,1.5732640576915617e+86,3.5572402672932786e+86,5.048053067414591e+86,2.502349239930009e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325155839.tdms,7.906868002938221e+79,1.7879728813531826e+80,2.537463172630228e+80,1.2691335580655168e+81,1.4861110644196889e+85,3.3604507202578955e+85,4.76967542525292e+85,2.3732490002654424e+86,4.127800638201973e+84,9.333564062024125e+84,1.3246291507357129e+85,6.567571249389807e+85,4.511068533371198e+84,1.0202140797382972e+85,1.4480831620692226e+85,7.165652905114927e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325160839.tdms,2.7504452720061816e+85,6.219125373714601e+85,8.825923853417023e+85,4.3895549606382546e+86,3.5723452983311347e+83,8.07689235745486e+83,1.1460973754041412e+84,5.71036296729399e+84,1.5823485444337162e+82,3.577292955493751e+82,5.0768265101713586e+82,2.532459516514791e+83,4.570095007675039e+85,1.0334690358586693e+86,1.466750982881548e+86,7.297614818178335e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325161839.tdms,4.768607741948672e+85,1.0782670364470636e+86,1.5304898825379844e+86,7.650446455918861e+86,8.843397286300214e+84,1.9998240918218606e+85,2.8381686230674087e+85,1.4187246398589836e+86,3.8075655256279085e+86,8.610752622581372e+86,1.222106367321693e+87,6.119865579500531e+87,4.1530313526133225e+84,9.390803105134009e+84,1.3329337815947208e+85,6.608350918520796e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325162839.tdms,4.799166016221514e+85,1.0851285493262333e+86,1.54008939675972e+86,7.675630787977979e+86,5.020978089490709e+84,1.1353207422085986e+85,1.6113440509671175e+85,7.942990076237043e+85,4.153209884642646e+84,9.392243202954846e+84,1.3331666106645984e+85,6.573952705470339e+85,6.155707347823927e+85,1.3918359296791505e+86,1.9752626181875836e+86,9.744071956101628e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325163839.tdms,9.138874565378905e+84,2.066404785047279e+85,2.9326217760030775e+85,1.4572999823826613e+86,5.5038852584262864e+85,1.2444154466138526e+86,1.766026544826011e+86,8.773257542984802e+86,4.388327704733145e+86,9.922839972415136e+86,1.4084464935716429e+87,6.972037617788333e+87,4.249890407556592e+85,9.610221445099844e+85,1.3639379120666417e+86,6.783056300889067e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325164839.tdms,1.354601471705632e+85,3.0632447451334992e+85,4.347650496507158e+85,2.1639406546222553e+86,1.0128318439986836e+86,2.2901302433294532e+86,3.250191842545105e+86,1.619169300614264e+87,3.917610869369672e+85,8.858008548219007e+85,1.2572182439985634e+86,6.317390993719516e+86,2.4916383726525775e+85,5.634166262926455e+85,7.996507055096832e+85,3.9599615919721913e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325165839.tdms,3.4949804538804255e+85,7.901764413252845e+85,1.1214225925261587e+86,5.569598703384682e+86,1.5257321096821722e+86,3.450390765520211e+86,4.8978117257615623e+86,2.4578117517705864e+87,1.244818634372076e+85,2.8150759550665512e+85,3.995289714782526e+85,1.9941435068514518e+86,2.849852638258832e+84,6.443337989063053e+84,9.144258856613416e+84,4.5522471632031814e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325170839.tdms,1.1283525335208284e+85,2.5516833369241032e+85,3.6214735695324676e+85,1.807849647908524e+86,4.945922632491996e+85,1.1182904761695938e+86,1.587083468936925e+86,7.887976369971307e+86,5.662586590697917e+86,1.2806060298771256e+87,1.8177232307800214e+87,9.064084324140214e+87,4.9424318966337504e+85,1.1176626384517396e+86,1.5861884090926354e+86,7.965896478968517e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325171839.tdms,5.674659370318402e+84,1.2830816817474779e+85,1.8206474171670458e+85,9.112556434339034e+85,1.2770358509822776e+85,2.887751664345362e+85,4.0989134111827824e+85,2.0193908863965422e+86,1.8626294089273463e+86,4.2117625314049964e+86,5.977428151550714e+86,2.9980114111654007e+87,9.682240040005528e+84,2.1892834874808406e+85,3.107293212525742e+85,1.5571585746949742e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325172839.tdms,9.706111244951106e+85,2.1946399727171597e+86,3.1150401115662596e+86,1.5550680631556557e+87,1.1278059974054072e+85,2.5500718938790555e+85,3.6190822702617964e+85,1.812225811152918e+86,2.490258760852881e+83,5.631106411389783e+83,7.99213713057746e+83,3.948508837604574e+84,1.9370369970230965e+83,4.3798560812171966e+83,6.216111570131244e+83,3.088552036756032e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325173839.tdms,6.202923357944332e+85,1.4026268292965426e+86,1.9909815300240138e+86,9.819645244973466e+86,6.877098648685246e+82,1.5551039685484263e+83,2.2072919526604088e+83,1.0930210605610097e+84,5.265628648831199e+86,1.1907702753602028e+87,1.6902033579487358e+87,8.332702291156078e+87,2.4298559520925994e+86,5.494327952697637e+86,7.798205227486618e+86,3.8584323872924396e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325174839.tdms,8.142927389565145e+84,1.8414999841323975e+85,2.6137301989626704e+85,1.2982531391040576e+86,2.4630412708149463e+86,5.569802070401995e+86,7.904937343689873e+86,3.9426631705639805e+87,8.02895194962037e+84,1.8155851581673932e+85,2.576937046935693e+85,1.284952102138906e+86,6.73440538499629e+85,1.5229075499034837e+86,2.1614924719246497e+86,1.0796220047095363e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325175839.tdms,5.8331468965954926e+82,1.3190239227223957e+83,1.8719444713919692e+83,9.265919307722331e+83,7.718110139848811e+84,1.7452956145338943e+85,2.477160348331887e+85,1.2297615484535568e+86,4.768480522084209e+86,1.0782650135004741e+87,1.5303863673857364e+87,7.631150267850503e+87,1.0250712631848474e+86,2.317953070116311e+86,3.290132006716868e+86,1.6503659147014832e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325180839.tdms,1.4832833336877845e+85,3.354012362265591e+85,4.760365702701723e+85,2.3739979670482252e+86,5.5776337141282415e+82,1.2611495924519946e+83,1.7899231493057164e+83,8.930069631708836e+83,2.512116940068155e+86,5.680157431287885e+86,8.060200132602569e+86,3.9712775876127857e+87,7.20758747607087e+85,1.629537906430382e+86,2.3121633907097813e+86,1.1441594514618548e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325181839.tdms,1.0144758572909406e+85,2.2939434898414942e+85,3.255579369218891e+85,1.6224715020570659e+86,1.34805492618275e+85,3.048367689476004e+85,4.326498515172752e+85,2.137671184808545e+86,8.383645835072597e+86,1.8958111549708013e+87,2.6907785938825568e+87,1.3520269047899143e+88,1.2695195311188446e+85,2.8705673762996304e+85,4.0735921112150855e+85,2.0247136097376986e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325182839.tdms,4.18526117953271e+85,9.463988172706021e+85,1.3431433228706382e+86,6.73379190478207e+86,1.3618250769925166e+82,3.079346896483873e+82,4.37066325097738e+82,2.150844905104181e+83,2.170639054536738e+85,4.908511540826644e+85,6.967113882673099e+85,3.4774298001927367e+86,2.113876511797208e+86,4.7797024195853963e+86,6.783508661906113e+86,3.3996163749774065e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325183839.tdms,1.251100511488421e+84,2.8287729265290617e+84,4.014958411485592e+84,2.009725728459874e+85,9.206015560930506e+84,2.0817015108957786e+85,2.9545320952823228e+85,1.4653082536243608e+86,1.1585950924130626e+87,2.6200056683025883e+87,3.718761432138977e+87,1.8322815496076702e+88,2.0475920527503865e+86,4.629676070642528e+86,6.57055503071174e+86,3.2430074310445613e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325184839.tdms,8.552016960585095e+84,1.9338659332243205e+85,2.744805768931972e+85,1.3678857095793846e+86,7.080508323826732e+83,1.601083439552707e+84,2.2721694072622084e+84,1.1383685356204416e+85,2.534411310007426e+85,5.731504498818874e+85,8.13502219049801e+85,4.073545223844385e+86,5.172138576854699e+83,1.1694032865722335e+84,1.6595639794213541e+84,8.18065447055938e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325185839.tdms,4.32126805883548e+85,9.769795904424515e+85,1.3865652907830577e+86,6.905728597249628e+86,1.5977521657093957e+86,3.6133856931865474e+86,5.128151910496469e+86,2.5493884958075186e+87,4.109578416675594e+85,9.294038016832825e+85,1.319264411876962e+86,6.592423000380589e+86,1.7187739685852786e+85,3.8862544301077654e+85,5.515638130464457e+85,2.7613068543292274e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325190839.tdms,3.3163425605424045e+85,7.498383941964306e+85,1.0641454756706159e+86,5.254668344280991e+86,3.3037035620430146e+84,7.469941381886981e+84,1.0601737733817354e+85,5.304073360508704e+85,8.243037448478303e+84,1.864322157693155e+85,2.6465429533662576e+85,1.3243723251379983e+86,1.440665596924257e+86,3.2573140693475664e+86,4.6225043033656734e+86,2.297867374773506e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325191839.tdms,1.0848797729689203e+85,2.45317521509112e+85,3.481725820213254e+85,1.7268547513774033e+86,1.4576800635554102e+85,3.295752306564481e+85,4.677422028123106e+85,2.3300915837557014e+86,1.1245141726666742e+83,2.5426360819985445e+83,3.608335150539572e+83,1.7933964733666529e+84,3.536232403347143e+86,7.996045720232579e+86,1.1348307436513105e+87,5.618040767356903e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325192839.tdms,6.428871657395206e+83,1.4537095789817931e+84,2.063325683373383e+84,1.0186456770078853e+85,3.850775106971767e+85,8.705043919760483e+85,1.2353275728538139e+86,6.180394947871674e+86,2.6139765644863114e+86,5.911176176935239e+86,8.38878869803838e+86,4.171994654554622e+87,1.6099372016487823e+86,3.6406255951854326e+86,5.167358081192147e+86,2.569132005291764e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325193839.tdms,1.2973092462394127e+85,2.9332339553053133e+85,4.163168211743575e+85,2.0728092210621394e+86,2.0593539276718654e+84,4.6562775872432165e+84,6.608684945750256e+84,3.309206475280123e+85,1.4924106535552624e+86,3.3751440993034395e+86,4.7909154187051146e+86,2.3838752600871447e+87,9.208578220742349e+84,2.0823565678723477e+85,2.955364719617886e+85,1.4629799059046405e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325194839.tdms,3.435978347687212e+85,7.768990106730879e+85,1.102459765119873e+86,5.475380144856777e+86,4.091428041831774e+85,9.251241338429625e+85,1.3130078559427465e+86,6.450062141352669e+86,1.1399450324419787e+85,2.577598109957973e+85,3.6583178880111195e+85,1.8190362261856104e+86,2.0932776366024225e+84,4.732824600359653e+84,6.717028970662509e+84,3.3323473007651116e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325195839.tdms,6.525142750114118e+84,1.4751904643948244e+85,2.093764736857033e+85,1.0440121848133818e+86,1.2598603037203815e+85,2.849059186845164e+85,4.044226349318476e+85,2.0088866855310786e+86,6.24607303480062e+86,1.4122667114030977e+87,2.004218339603471e+87,9.930914541324038e+87,8.767770967509066e+85,1.982616115901737e+86,2.814029476189541e+86,1.4084295976047242e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325200839.tdms,1.313375733626739e+85,2.969713477935645e+85,4.214941372770078e+85,2.0906731591802915e+86,2.772023635371938e+85,6.268020120449077e+85,8.895899140267956e+85,4.438710471575421e+86,2.7204609767372154e+86,6.151673220359066e+86,8.73175561936864e+86,4.366705525339162e+87,1.313148128110695e+85,2.9690307088877193e+85,4.2134982668399054e+85,2.0737585122686705e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325201839.tdms,1.7386552374878007e+85,3.931116105872163e+85,5.5787546029339465e+85,2.76483882763221e+86,1.2820250150045558e+84,2.898672204237398e+84,4.1136987505252155e+84,2.0590885003278207e+85,6.480536676701683e+86,1.465599718564924e+87,2.0801316348436363e+87,1.0344686286176063e+88,5.605956697387215e+86,1.2676331012344234e+87,1.7991027011437144e+87,8.909438122764339e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325202839.tdms,1.5800193723283128e+85,3.572756550467542e+85,5.0709531756707816e+85,2.545834617284448e+86,5.1438170263761146e+85,1.1630305806640575e+86,1.6507104701562937e+86,8.195027641276609e+86,1.4687137809523307e+85,3.321466828271929e+85,4.714491465690723e+85,2.3497618288795244e+86,3.916163965829093e+85,8.854889314755677e+85,1.2566963256790308e+86,6.257595815899771e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325203839.tdms,8.233290137238276e+84,1.8618894567575496e+85,2.6427770135783214e+85,1.3218627437871805e+86,2.657372444960607e+85,6.008513186679297e+85,8.52684971100896e+85,4.2453490948234073e+86,4.747024892128786e+85,1.0733275468666973e+86,1.5233317977728746e+86,7.493138230716783e+86,1.596604760223547e+86,3.610175731533649e+86,5.124219597669906e+86,2.536397699447286e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325204839.tdms,4.792247617584681e+84,1.083689876004785e+85,1.5380203500648617e+85,7.691047811213247e+85,1.1171259709475402e+85,2.5260740321699274e+85,3.584896833097013e+85,1.7889423518101645e+86,6.808869801993564e+86,1.5396740648088376e+87,2.1852042323576525e+87,1.0795344109137383e+88,2.9619148315545385e+86,6.69699292358255e+86,9.506289950334257e+86,4.721178576808834e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325205839.tdms,1.0950947750814936e+83,2.476338570438031e+83,3.5147236025479117e+83,1.754934896382885e+84,2.8718780716078457e+84,6.493701344785134e+84,9.215100338373227e+84,4.582596641691371e+85,2.822485451782611e+86,6.382830412786147e+86,9.058541222890317e+86,4.496823699952751e+87,1.3356804753313158e+85,3.0198961678583725e+85,4.285415264275097e+85,2.1121176190160668e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325210839.tdms,1.4192542246868573e+86,3.208753317094805e+86,4.5535857409018155e+86,2.267757656882897e+87,1.3619726134198462e+86,3.079842888024305e+86,4.371487261145054e+86,2.1834500549468494e+87,5.38169859094586e+86,1.216977659265254e+87,1.727331265672731e+87,8.57996066808084e+87,8.660292838699994e+86,1.9582520815989105e+87,2.779454878302228e+87,1.3839670648346387e+88
modified_KIMM Simulator_KIMM Bearing Test_20160325211839.tdms,9.317652262807298e+84,2.106772037828701e+85,2.9898148347455687e+85,1.473920677825048e+86,4.649776902038467e+83,1.0513333197161353e+84,1.4921517216871654e+84,7.436230154358574e+84,1.7963917039441435e+86,4.061764182966121e+86,5.764375961654692e+86,2.8696580244491546e+87,1.2744536456526274e+86,2.8817951255409213e+86,4.0896728390593743e+86,2.0375329275612603e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325212839.tdms,2.0889324723404706e+85,4.723739527635659e+85,6.704606848353324e+85,3.3076881008193087e+86,1.7128073974409845e+85,3.8730541933017946e+85,5.496896448223278e+85,2.7388153410891327e+86,1.1719826365208703e+86,2.650004970902244e+86,3.7612326983336464e+86,1.870181633542991e+87,2.4916437571118283e+86,5.633785333281515e+86,7.996332999501535e+86,3.9647153621286725e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325213839.tdms,5.411062120901961e+85,1.2232881815657735e+86,1.735956391623013e+86,8.545715462104455e+86,2.314538729598913e+84,5.233700216633875e+84,7.428624629938609e+84,3.6965112535459795e+85,2.5254818134727742e+85,5.710468474476448e+85,8.104316523025645e+85,4.0030975462356816e+86,4.963706883211667e+85,1.1224420424888138e+86,1.5931772801449858e+86,7.965989280239077e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325214839.tdms,4.4528561301345546e+85,1.006835735983595e+86,1.4288611583803023e+86,7.094766987518044e+86,2.6029482768788976e+83,5.885645987639399e+83,8.353509546698514e+83,4.146504576958564e+84,1.0367692904647452e+85,2.3446180253879735e+85,3.327674324659494e+85,1.64195673867252e+86,7.584595751159046e+85,1.7153494853009777e+86,2.434822907894124e+86,1.2084843691296677e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325215839.tdms,1.5288593592509954e+85,3.456979439411108e+85,4.906337994236699e+85,2.4383267091200237e+86,4.877202795614011e+82,1.1028951583210782e+83,1.5655817799075192e+83,7.720410761662567e+83,1.5467967069600844e+85,3.4976490048941095e+85,4.964282983391552e+85,2.475887650335287e+86,6.997729036958981e+84,1.5822937603043036e+85,2.2459723731071057e+85,1.1176657763986451e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325220839.tdms,5.863417131403292e+85,1.3258948370347488e+86,1.882025497869783e+86,9.463590472044857e+86,1.7084284848685857e+86,3.8622747941319023e+86,5.481501641249219e+86,2.7154875622671465e+87,1.782071453209968e+84,4.029436250052538e+84,5.718246833679062e+84,2.827011916081865e+85,1.8883758545803906e+86,4.2702706292196085e+86,6.061021615779568e+86,3.0073685820833064e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325221839.tdms,1.273351840777189e+86,2.8793178305328824e+86,4.086711738886995e+86,2.035126979254452e+87,1.9083005686270864e+86,4.314708340299565e+86,6.123035818771096e+86,3.060433719487542e+87,4.36746507809169e+86,9.87657787148531e+86,1.4017845696519557e+87,7.042288139308306e+87,1.8848300560524863e+86,4.262170269679269e+86,6.048801947084425e+86,3.0250202220220276e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325222839.tdms,1.9981185901509498e+83,4.51788604032222e+83,6.412242627991823e+83,3.1665351785075516e+84,3.0599462824768307e+85,6.918847498598488e+85,9.81801786857423e+85,4.8641394831769303e+86,4.230840555970069e+85,9.56697803166445e+85,1.3578013140163177e+86,6.773805270144436e+86,2.0194037288980192e+86,4.5662744889514e+86,6.480429829997516e+86,3.2356649257845473e+87
modified_KIMM Simulator_KIMM Bearing Test_20160325223839.tdms,3.829641025472889e+84,8.659158720421189e+84,1.2289800650397317e+85,6.1426447750286824e+85,4.779402188552443e+84,1.080654427486609e+85,1.5336947922110462e+85,7.648405474513046e+85,5.7439291888585586e+85,1.2986411261355255e+86,1.8429679621244113e+86,9.180085036144251e+86,1.6892834916767642e+86,3.8200502881051857e+86,5.422425478894948e+86,2.685431836059033e+87
